timestamp,best_ask,best_bid,ltp
2025-06-20T14:02:03.207,15409586.0,15401139.0,15404069.0
2025-06-20T14:02:04.49,15409577.0,15401140.0,15404069.0
2025-06-20T14:02:06.273,15409572.0,15401101.0,15404069.0
2025-06-20T14:02:08.473,15409557.0,15401117.0,15404069.0
2025-06-20T14:02:10.667,15409548.0,15401153.0,15404069.0
2025-06-20T14:02:12.96,15409596.0,15401229.0,15404069.0
2025-06-20T14:02:15.09,15409592.0,15401337.0,15404069.0
2025-06-20T14:02:16.833,15409596.0,15401372.0,15404069.0
2025-06-20T14:02:18.953,15409591.0,15401441.0,15404069.0
2025-06-20T14:02:20.967,15409578.0,15401410.0,15404069.0
2025-06-20T14:02:23.01,15412000.0,15405757.0,15409574.0
2025-06-20T14:02:25.013,15416059.0,15405846.0,15412000.0
2025-06-20T14:02:27.037,15416058.0,15407352.0,15412000.0
2025-06-20T14:02:28.557,15416057.0,15407938.0,15412000.0
2025-06-20T14:02:31.05,15416056.0,15408082.0,15412000.0
2025-06-20T14:02:32.683,15416055.0,15408084.0,15412000.0
2025-06-20T14:02:34.253,15416054.0,15408108.0,15412000.0
2025-06-20T14:02:36.927,15416053.0,15408117.0,15416054.0
2025-06-20T14:02:38.273,15417999.0,15408129.0,15416053.0
2025-06-20T14:02:41.027,15418000.0,15413101.0,15416053.0
2025-06-20T14:02:42.747,15418000.0,15413234.0,15416053.0
2025-06-20T14:02:44.403,15418000.0,15413242.0,15416053.0
2025-06-20T14:02:46.137,15418000.0,15413216.0,15416053.0
2025-06-20T14:02:48.737,15420000.0,15415116.0,15418000.0
2025-06-20T14:02:50.71,15420000.0,15414893.0,15418000.0
2025-06-20T14:02:52.403,15423056.0,15415500.0,15422230.0
2025-06-20T14:02:54.81,15424799.0,15416703.0,15422230.0
2025-06-20T14:02:57.11,15425000.0,15416727.0,15422230.0
2025-06-20T14:02:58.88,15425000.0,15416724.0,15422230.0
2025-06-20T14:03:00.843,15425000.0,15416744.0,15422230.0
2025-06-20T14:03:02.337,15424999.0,15416751.0,15422230.0
2025-06-20T14:03:04.997,15424197.0,15414500.0,15422230.0
2025-06-20T14:03:07.067,15422298.0,15414500.0,15422230.0
2025-06-20T14:03:08.327,15422266.0,15414500.0,15422230.0
2025-06-20T14:03:10.64,15421396.0,15414500.0,15422230.0
2025-06-20T14:03:12.903,15421400.0,15411648.0,15421378.0
2025-06-20T14:03:14.697,15421400.0,15411672.0,15421378.0
2025-06-20T14:03:16.01,15423600.0,15414973.0,15413500.0
2025-06-20T14:03:18.963,15423600.0,15415815.0,15415815.0
2025-06-20T14:03:20.33,15423599.0,15415976.0,15415815.0
2025-06-20T14:03:22.34,15425000.0,15416718.0,15416717.0
2025-06-20T14:03:24.033,15425000.0,15417019.0,15416717.0
2025-06-20T14:03:26.087,15427566.0,15417800.0,15427566.0
2025-06-20T14:03:28.597,15423453.0,15417044.0,15427566.0
2025-06-20T14:03:30.503,15422399.0,15411603.0,15427566.0
2025-06-20T14:03:32.19,15421584.0,15411616.0,15422377.0
2025-06-20T14:03:35.047,15421579.0,15411604.0,15422377.0
2025-06-20T14:03:36.967,15421576.0,15411604.0,15421576.0
2025-06-20T14:03:38.157,15421769.0,15412100.0,15421576.0
2025-06-20T14:03:40.703,15421769.0,15412116.0,15421576.0
2025-06-20T14:03:42.263,15421600.0,15412304.0,15422100.0
2025-06-20T14:03:44.833,15421800.0,15412876.0,15422100.0
2025-06-20T14:03:46.93,15422400.0,15414701.0,15421200.0
2025-06-20T14:03:48.083,15422900.0,15415101.0,15421200.0
2025-06-20T14:03:50.613,15422200.0,15415317.0,15421200.0
2025-06-20T14:03:52.187,15423200.0,15421199.0,15421200.0
2025-06-20T14:03:54.307,15423200.0,15421199.0,15421200.0
2025-06-20T14:03:56.85,15426901.0,15416905.0,15421200.0
2025-06-20T14:03:58.61,15426900.0,15417536.0,15421200.0
2025-06-20T14:04:01.287,15426898.0,15417900.0,15421200.0
2025-06-20T14:04:02.7,15426600.0,15418800.0,15421200.0
2025-06-20T14:04:04.04,15426599.0,15418818.0,15421200.0
2025-06-20T14:04:06.793,15427567.0,15420700.0,15421200.0
2025-06-20T14:04:09.283,15427567.0,15421016.0,15421200.0
2025-06-20T14:04:10.42,15427567.0,15422700.0,15421200.0
2025-06-20T14:04:12.417,15427567.0,15423736.0,15421200.0
2025-06-20T14:04:14.653,15427567.0,15424100.0,15423739.0
2025-06-20T14:04:16.43,15427567.0,15424109.0,15423739.0
2025-06-20T14:04:18.683,15424113.0,15421334.0,15423739.0
2025-06-20T14:04:20.137,15427567.0,15422803.0,15424113.0
2025-06-20T14:04:22.563,15427567.0,15421458.0,15424113.0
2025-06-20T14:04:24.803,15430000.0,15424450.0,15430000.0
2025-06-20T14:04:26.823,15430000.0,15424935.0,15430000.0
2025-06-20T14:04:28.85,15430000.0,15424947.0,15430000.0
2025-06-20T14:04:30.833,15430000.0,15424908.0,15430000.0
2025-06-20T14:04:32.66,15429466.0,15421800.0,15429500.0
2025-06-20T14:04:34.67,15428209.0,15421803.0,15429500.0
2025-06-20T14:04:36.96,15428119.0,15421803.0,15428209.0
2025-06-20T14:04:38.053,15427966.0,15421803.0,15428209.0
2025-06-20T14:04:40.35,15427965.0,15421803.0,15428209.0
2025-06-20T14:04:42.403,15428000.0,15420095.0,15428209.0
2025-06-20T14:04:44.417,15428000.0,15420082.0,15428209.0
2025-06-20T14:04:47.133,15428000.0,15420204.0,15427999.0
